trade_date,ts_code,calibrated,c_struct,c_consensus,c_history,total_confidence,level,gates,future_5d_ret,season
2026-07-01,000938.SZ,44.0,40.0,60.0,79.0,56.8,C,-,12.32888029003476,chaos
2026-07-01,000938.SZ,44.0,40.0,60.0,79.0,56.8,C,-,12.32888029003476,chaos
2026-07-01,000960.SZ,23.8,25.0,80.0,90,60.5,B,-,-14.933835508800419,chaos
2026-07-01,000960.SZ,23.8,25.0,80.0,90,60.5,B,-,-14.933835508800419,chaos
2026-07-01,000975.SZ,5.0,50.0,45.0,90,58.2,C,-,15.911634881193425,chaos
2026-07-01,000975.SZ,5.0,50.0,45.0,90,58.2,C,-,15.911634881193425,chaos
2026-07-01,000977.SZ,46.5,30.0,45.0,76.2,46.8,C,-,16.22067866374084,chaos
2026-07-01,000977.SZ,46.5,30.0,45.0,76.2,46.8,C,-,16.22067866374084,chaos
2026-07-01,000988.SZ,32.0,25.0,60.0,70.0,48.5,C,-,-15.010090834250288,chaos
2026-07-01,000988.SZ,32.0,25.0,60.0,70.0,48.5,C,-,-15.010090834250288,chaos
2026-07-01,001211.SZ,5.0,80.0,45.0,90,70.2,B,confidence_overrated,-9.555941700057602,chaos
2026-07-01,001211.SZ,5.0,80.0,45.0,90,70.2,B,confidence_overrated,-9.555941700057602,chaos
2026-07-01,001222.SZ,21.0,30.0,45.0,90,50.2,C,-,-0.5930034572219411,chaos
2026-07-01,001222.SZ,21.0,30.0,45.0,90,50.2,C,-,-0.5930034572219411,chaos
2026-07-01,001270.SZ,57.9,30.0,45.0,67.6,44.6,C,-,-4.82380822422519,chaos
2026-07-01,001270.SZ,57.9,30.0,45.0,67.6,44.6,C,-,-4.82380822422519,chaos
2026-07-01,001287.SZ,46.4,25.0,40.0,90,46.5,C,-,-5.443318601625746,chaos
2026-07-01,001306.SZ,32.5,25.0,40.0,90,46.5,C,-,-5.7996472040602765,chaos
2026-07-01,001309.SZ,51.7,30.0,45.0,79.4,47.6,C,-,-7.637565270007729,chaos
2026-07-01,001309.SZ,51.7,30.0,45.0,79.4,47.6,C,-,-7.637565270007729,chaos
2026-07-01,001316.SZ,19.9,50.0,30.0,67.9,47.5,C,-,-3.7604099125337798,chaos
2026-07-01,001316.SZ,19.9,50.0,30.0,67.9,47.5,C,-,-3.7604099125337798,chaos
2026-07-01,001318.SZ,28.0,50.0,30.0,90,53.0,C,-,0.5859246127060347,chaos
2026-07-01,001318.SZ,28.0,50.0,30.0,90,53.0,C,-,0.5859246127060347,chaos
2026-07-01,001328.SZ,24.0,80.0,60.0,65.8,69.5,B,-,-1.0797450797826125,chaos
2026-07-01,001328.SZ,24.0,80.0,60.0,65.8,69.5,B,-,-1.0797450797826125,chaos
2026-07-01,001339.SZ,26.1,25.0,40.0,80.4,44.1,C,-,-6.067466932468535,chaos
2026-07-01,001389.SZ,38.9,25.0,40.0,90,46.5,C,-,-16.166281986539666,chaos
2026-07-01,001696.SZ,18.8,30.0,45.0,51.7,40.7,C,-,-11.354583471319458,chaos
2026-07-01,001696.SZ,18.8,30.0,45.0,51.7,40.7,C,-,-11.354583471319458,chaos
2026-07-01,001896.SZ,25.2,30.0,30.0,67.6,39.4,D,-,-20.19503738604579,chaos
2026-07-01,001896.SZ,25.2,30.0,30.0,67.6,39.4,D,-,-20.19503738604579,chaos
2026-07-01,001979.SZ,5.0,25.0,80.0,90,60.5,B,confidence_overrated,-1.522129657465987,chaos
2026-07-01,002001.SZ,28.7,25.0,60.0,86.2,52.5,C,-,-3.5690612323861393,chaos
2026-07-01,002007.SZ,41.2,50.0,30.0,77.0,49.8,C,-,1.1905463305556863,chaos
2026-07-01,002007.SZ,41.2,50.0,30.0,77.0,49.8,C,-,1.1905463305556863,chaos
2026-07-01,002008.SZ,22.9,25.0,40.0,90,46.5,C,-,-7.3054639964184265,chaos
2026-07-01,002009.SZ,34.1,25.0,45.0,47.5,37.6,D,-,-11.439478610179732,chaos
2026-07-01,002015.SZ,5.0,50.0,60.0,51.2,53.8,C,-,-16.190427511528206,chaos
2026-07-01,002015.SZ,5.0,50.0,60.0,51.2,53.8,C,-,-16.190427511528206,chaos
2026-07-01,002023.SZ,31.5,60.0,60.0,75.2,63.8,B,-,-14.094984273688693,chaos
2026-07-01,002023.SZ,31.5,60.0,60.0,75.2,63.8,B,-,-14.094984273688693,chaos
2026-07-01,002025.SZ,70.4,25.0,45.0,90,48.2,C,-,7.605925223806964,chaos
2026-07-01,002025.SZ,70.4,25.0,45.0,90,48.2,C,-,7.605925223806964,chaos
2026-07-01,002028.SZ,23.2,40.0,60.0,87.4,58.9,C,-,-4.986243691840075,chaos
2026-07-01,002028.SZ,23.2,40.0,60.0,87.4,58.9,C,-,-4.986243691840075,chaos
2026-07-01,002031.SZ,32.6,25.0,45.0,51.9,38.7,D,-,-4.188549579441059,chaos
2026-07-01,002032.SZ,29.5,50.0,30.0,81.0,50.8,C,-,8.549552729384736,chaos
2026-07-01,002032.SZ,29.5,50.0,30.0,81.0,50.8,C,-,8.549552729384736,chaos
2026-07-01,002046.SZ,36.5,30.0,30.0,88.8,44.7,C,-,-12.66149540409226,chaos
2026-07-01,002046.SZ,36.5,30.0,30.0,88.8,44.7,C,-,-12.66149540409226,chaos
