ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,shares,net_pnl,profit_pct,entry_score,exit_reason,entry_season,exit_season
600118.SH,2025-12-09,2026-01-30,36,48.68,91.26,2000,84320,87.47,85.6,SCORE_DROP,chaos,chaos_spring
002371.SZ,2025-11-28,2026-02-02,44,427.9,461.63,200,6212,7.88,77.6,SCORE_DROP,chaos,chaos
688072.SH,2025-12-12,2026-02-02,34,343.25,330.98,200,-2859,-3.57,81.2,SCORE_DROP,chaos,chaos
688362.SH,2026-01-08,2026-02-04,19,40.77,43.8,2400,6663,7.43,85.6,SCORE_DROP,summer,chaos
688525.SH,2025-12-30,2026-02-05,25,117.89,162.8,800,35254,38.09,74.5,SCORE_DROP,chaos_spring,chaos
000021.SZ,2025-12-31,2026-02-05,24,25.28,27.4,3900,7652,8.39,78.1,SCORE_DROP,chaos_spring,chaos
688313.SH,2026-01-30,2026-02-05,4,91.9,79.15,1000,-13263,-13.87,76.1,STOP_LOSS,chaos_spring,chaos
300502.SZ,2026-02-02,2026-02-05,3,439.0,383.0,200,-11693,-12.76,76.3,STOP_LOSS,chaos,chaos
300223.SZ,2025-12-09,2026-02-11,44,97.06,120.7,1000,22987,24.36,84.4,SCORE_DROP,chaos,chaos
688223.SH,2026-02-05,2026-02-26,9,7.89,7.41,12600,-6626,-6.08,70.9,SCORE_DROP,chaos,chaos_spring
002129.SZ,2026-02-05,2026-03-03,12,10.74,9.86,9300,-8759,-8.19,74.7,SCORE_DROP,chaos,chaos
002916.SZ,2025-12-19,2026-03-04,45,212.75,267.9,400,21483,25.92,71.9,MAX_HOLD,chaos,chaos
688037.SH,2026-02-05,2026-03-06,15,207.03,189.79,400,-7372,-8.33,69.9,SCORE_DROP,chaos,chaos
605060.SH,2026-01-20,2026-03-13,32,40.69,55.88,2400,35761,37.33,82.8,SCORE_DROP,chaos_spring,chaos_spring
000415.SZ,2026-01-22,2026-03-13,30,4.43,4.62,22500,3664,4.29,83.5,SCORE_DROP,chaos_spring,chaos_spring
600176.SH,2026-02-11,2026-03-17,18,25.65,23.92,3800,-7139,-6.74,74.6,SCORE_DROP,chaos,chaos
688072.SH,2026-03-03,2026-03-17,10,380.0,334.06,200,-9616,-12.09,78.8,STOP_LOSS,chaos,chaos
600172.SH,2026-02-04,2026-03-19,25,8.03,8.43,12400,4348,4.98,74.4,SCORE_DROP,chaos,chaos
601126.SH,2026-03-04,2026-03-19,11,48.52,46.1,2000,-5408,-4.99,75.5,SCORE_DROP,chaos,chaos
000021.SZ,2026-02-26,2026-03-20,16,34.69,30.49,2800,-12308,-12.11,84.1,STOP_LOSS,chaos_spring,chaos
301308.SZ,2026-03-19,2026-03-23,2,356.5,306.2,200,-10458,-14.11,73.6,STOP_LOSS,chaos,chaos_autumn
300223.SZ,2026-03-17,2026-03-24,5,124.36,111.52,800,-10838,-10.32,71.7,SCORE_DROP,chaos,chaos_autumn
301068.SZ,2026-03-13,2026-03-31,12,34.31,29.96,2900,-13174,-12.68,73.0,STOP_LOSS,chaos_spring,chaos_autumn
002463.SZ,2026-03-17,2026-03-31,10,85.59,75.97,1100,-11115,-11.24,72.9,SCORE_DROP,chaos,chaos_autumn
688525.SH,2026-03-06,2026-04-01,18,209.33,215.6,400,1998,3.0,79.2,SCORE_DROP,chaos,chaos_autumn
603629.SH,2026-02-02,2026-04-02,37,41.14,60.26,2400,45158,46.48,74.6,SCORE_DROP,chaos,chaos
000048.SZ,2026-03-13,2026-04-03,15,20.81,17.24,4800,-17684,-17.16,75.7,STOP_LOSS,chaos_spring,chaos
002580.SZ,2026-03-31,2026-04-03,3,17.61,15.37,5600,-13098,-12.72,77.8,STOP_LOSS,chaos_autumn,chaos
